benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0001,KNN,0.5448,0.41,0.4174
wine_benchmark_0001,LOF,0.55,0.4063,0.3313
wine_benchmark_0001,PCA,0.5418,0.4171,0.006
wine_benchmark_0001,LODA,0.5297,0.3951,0.038
wine_benchmark_0002,KNN,0.5468,0.3961,0.4434
wine_benchmark_0002,LOF,0.5659,0.4028,0.3503
wine_benchmark_0002,PCA,0.5408,0.3943,0.005
wine_benchmark_0002,LODA,0.521,0.3695,0.035
wine_benchmark_0003,KNN,0.5582,0.4163,0.4074
wine_benchmark_0003,LOF,0.5552,0.4163,0.3043
wine_benchmark_0003,PCA,0.5358,0.4081,0.006
wine_benchmark_0003,LODA,0.5261,0.3941,0.035
wine_benchmark_0004,KNN,0.5486,0.4188,0.4254
wine_benchmark_0004,LOF,0.5547,0.4239,0.3273
wine_benchmark_0004,PCA,0.5512,0.4312,0.0065
wine_benchmark_0004,LODA,0.5463,0.4283,0.0345
wine_benchmark_0005,KNN,0.5563,0.4235,0.4024
wine_benchmark_0005,LOF,0.5648,0.413,0.3018
wine_benchmark_0005,PCA,0.5507,0.4205,0.006
wine_benchmark_0005,LODA,0.5657,0.4183,0.039
wine_benchmark_0006,KNN,0.5435,0.4227,0.4214
wine_benchmark_0006,LOF,0.5561,0.4205,0.3273
wine_benchmark_0006,PCA,0.5387,0.4312,0.006
wine_benchmark_0006,LODA,0.5363,0.4258,0.039
wine_benchmark_0007,KNN,0.5455,0.4223,0.4184
wine_benchmark_0007,LOF,0.5473,0.4133,0.3013
wine_benchmark_0007,PCA,0.5426,0.429,0.005
wine_benchmark_0007,LODA,0.6259,0.5007,0.036
wine_benchmark_0008,KNN,0.5563,0.4192,0.4234
wine_benchmark_0008,LOF,0.562,0.4165,0.3338
wine_benchmark_0008,PCA,0.5563,0.4162,0.006
wine_benchmark_0008,LODA,0.531,0.3954,0.038
wine_benchmark_0009,KNN,0.5466,0.4172,0.3969
wine_benchmark_0009,LOF,0.5435,0.401,0.2943
wine_benchmark_0009,PCA,0.5447,0.4216,0.006
wine_benchmark_0009,LODA,0.5098,0.4062,0.035
wine_benchmark_0010,KNN,0.5565,0.4119,0.4489
wine_benchmark_0010,LOF,0.5601,0.4085,0.3523
wine_benchmark_0010,PCA,0.5457,0.4186,0.006
wine_benchmark_0010,LODA,0.5279,0.3888,0.044
wine_benchmark_0011,KNN,0.5419,0.4014,0.413
wine_benchmark_0011,LOF,0.5524,0.3975,0.3168
wine_benchmark_0011,PCA,0.5443,0.4021,0.008
wine_benchmark_0011,LODA,0.6049,0.4482,0.036
wine_benchmark_0012,KNN,0.5554,0.427,0.4134
wine_benchmark_0012,LOF,0.5556,0.4234,0.2993
wine_benchmark_0012,PCA,0.5434,0.4234,0.006
wine_benchmark_0012,LODA,0.5271,0.4001,0.039
wine_benchmark_0013,KNN,0.5546,0.4303,0.4159
wine_benchmark_0013,LOF,0.5594,0.4316,0.3169
wine_benchmark_0013,PCA,0.536,0.4163,0.007
wine_benchmark_0013,LODA,0.4566,0.3457,0.039
wine_benchmark_0014,KNN,0.552,0.4122,0.4064
wine_benchmark_0014,LOF,0.5597,0.4181,0.3003
wine_benchmark_0014,PCA,0.5379,0.4122,0.006
wine_benchmark_0014,LODA,0.6007,0.4537,0.035
wine_benchmark_0015,KNN,0.5446,0.3962,0.4474
wine_benchmark_0015,LOF,0.5472,0.3999,0.3283
wine_benchmark_0015,PCA,0.5499,0.4228,0.006
wine_benchmark_0015,LODA,0.4722,0.3415,0.05
wine_benchmark_0016,KNN,0.5459,0.4135,0.4084
wine_benchmark_0016,LOF,0.5382,0.4026,0.3088
wine_benchmark_0016,PCA,0.537,0.4196,0.006
wine_benchmark_0016,LODA,0.4396,0.3052,0.037
wine_benchmark_0017,KNN,0.5491,0.4103,0.4234
wine_benchmark_0017,LOF,0.5596,0.4111,0.3223
wine_benchmark_0017,PCA,0.5374,0.4017,0.006
wine_benchmark_0017,LODA,0.5654,0.4297,0.037
wine_benchmark_0018,KNN,0.5752,0.4138,0.4055
