benchmark_id,Model,ROC,precision at rank n,execution time
imgseg_benchmark_0001,KNN,0.472,0.4222,0.0971
imgseg_benchmark_0001,LOF,0.5082,0.4861,0.047
imgseg_benchmark_0001,PCA,0.649,0.5619,0.003
imgseg_benchmark_0001,LODA,0.6163,0.573,0.021
imgseg_benchmark_0002,KNN,0.504,0.411,0.0991
imgseg_benchmark_0002,LOF,0.5485,0.4609,0.05
imgseg_benchmark_0002,PCA,0.6371,0.5116,0.003
imgseg_benchmark_0002,LODA,0.6456,0.5433,0.02
imgseg_benchmark_0003,KNN,0.4846,0.4127,0.1041
imgseg_benchmark_0003,LOF,0.4726,0.4203,0.054
imgseg_benchmark_0003,PCA,0.658,0.5624,0.003
imgseg_benchmark_0003,LODA,0.5387,0.4511,0.02
imgseg_benchmark_0004,KNN,0.4412,0.4195,0.0961
imgseg_benchmark_0004,LOF,0.4703,0.4738,0.046
imgseg_benchmark_0004,PCA,0.6276,0.5497,0.003
imgseg_benchmark_0004,LODA,0.4914,0.4177,0.02
imgseg_benchmark_0005,KNN,0.4779,0.391,0.1043
imgseg_benchmark_0005,LOF,0.5173,0.4676,0.058
imgseg_benchmark_0005,PCA,0.6336,0.5295,0.003
imgseg_benchmark_0005,LODA,0.5911,0.4774,0.021
imgseg_benchmark_0006,KNN,0.4902,0.3965,0.1021
imgseg_benchmark_0006,LOF,0.5068,0.4531,0.051
imgseg_benchmark_0006,PCA,0.665,0.5566,0.002
imgseg_benchmark_0006,LODA,0.6185,0.5684,0.02
imgseg_benchmark_0007,KNN,0.4803,0.4203,0.1011
imgseg_benchmark_0007,LOF,0.5106,0.4395,0.052
imgseg_benchmark_0007,PCA,0.6441,0.547,0.003
imgseg_benchmark_0007,LODA,0.3503,0.2668,0.027
imgseg_benchmark_0008,KNN,0.4702,0.4307,0.1021
imgseg_benchmark_0008,LOF,0.4916,0.458,0.053
imgseg_benchmark_0008,PCA,0.636,0.562,0.003
imgseg_benchmark_0008,LODA,0.6322,0.5858,0.019
imgseg_benchmark_0009,KNN,0.4904,0.4138,0.0971
imgseg_benchmark_0009,LOF,0.4883,0.4203,0.0506
imgseg_benchmark_0009,PCA,0.669,0.5709,0.0025
imgseg_benchmark_0009,LODA,0.7458,0.6628,0.019
imgseg_benchmark_0010,KNN,0.5003,0.3883,0.0971
imgseg_benchmark_0010,LOF,0.5052,0.3996,0.048
imgseg_benchmark_0010,PCA,0.656,0.5282,0.003
imgseg_benchmark_0010,LODA,0.6718,0.5846,0.021
imgseg_benchmark_0011,KNN,0.4549,0.384,0.1041
imgseg_benchmark_0011,LOF,0.4791,0.4327,0.051
imgseg_benchmark_0011,PCA,0.6411,0.5439,0.003
imgseg_benchmark_0011,LODA,0.5943,0.5614,0.02
imgseg_benchmark_0012,KNN,0.4826,0.381,0.1011
